nameWithOwner,classes_n,total_loc,total_comment_lines,cbo_mean,cbo_median,cbo_std,dit_mean,dit_median,dit_std,lcom_mean,lcom_median,lcom_std
apolloconfig/apollo,786.0,36584.0,,7.338422391857506,6.0,6.834157340343287,1.2404580152671756,1.0,0.6730039466806829,15.43765903307888,0.0,58.40087083039569
alibaba/canal,1054.0,112746.0,,5.690702087286527,4.0,6.282610565521417,1.3690702087286528,1.0,0.7973315472284126,77.03415559772296,1.0,466.32864311630254
yuliskov/SmartTube,3288.0,244017.0,,6.567518248175182,4.0,7.958345521939782,1.5377128953771289,1.0,1.440781529226383,66.31812652068126,1.0,457.2455452646116
alibaba/spring-cloud-alibaba,592.0,18924.0,,5.695945945945946,5.0,4.832432427317107,1.1097972972972974,1.0,0.3535250948419905,30.04054054054054,0.0,311.6086394953894
wuyouzhuguli/SpringAll,369.0,6046.0,,5.186991869918699,4.0,4.183331819417003,1.113821138211382,1.0,0.37307299158738605,3.8157181571815717,0.0,11.853208705494092
DrKLO/Telegram,13249.0,1584230.0,,7.051098196090271,4.0,13.86466899662461,1.6963544418446674,1.0,18.249825113978122,67.5803456864669,0.0,1313.7910644791373
alibaba/druid,5967.0,349787.0,,5.240824534942182,4.0,13.00576817764313,1.6742081447963801,2.0,0.8996461323805236,229.41444612032848,0.0,5183.7184829785565
lenve/vhr,94.0,2971.0,,4.4361702127659575,2.0,5.843033735957143,1.0212765957446808,1.0,0.14507865158346242,48.329787234042556,6.0,225.79495829004145
crossoverJie/JCSprout,162.0,4399.0,,1.962962962962963,1.0,1.857965523581774,1.0925925925925926,1.0,0.3663748132660339,1.7654320987654322,0.0,6.3583888051317015
qiurunze123/miaosha,286.0,8581.0,,4.146853146853147,3.0,4.53981689399364,1.1258741258741258,1.0,0.39053957936101535,14.3006993006993,0.0,85.54371284043502
OpenAPITools/openapi-generator,4414.0,262661.0,,5.086089714544631,3.0,5.944094977793044,1.2222473946533756,1.0,0.6273788277301309,86.25101948346172,0.0,1127.333311879437
apache/incubator-seata,4151.0,277373.0,,6.482293423271501,4.0,20.814154408742876,1.7660804625391473,1.0,14.144843363079506,462.32955914237533,2.0,14738.226431014235
apache/flink,25268.0,1182665.0,,7.219012189330378,5.0,8.713461240929233,1.651377236029761,1.0,2.1739195912113143,35.47589836947918,1.0,1178.9206036115177
alibaba/fastjson,6327.0,206496.0,,1.8463726884779517,1.0,2.686445475109579,1.5037142405563457,1.0,0.7116374579359991,126.12122648964754,0.0,3281.9663386059483
hollischuang/toBeTopJavaer,0.0,0.0,,,,,,,,,,
JakeWharton/butterknife,272.0,7712.0,,3.9595588235294117,2.0,6.413361038070842,1.2352941176470589,1.0,0.7108572250152728,10.481617647058824,0.0,75.80646138055423
CodePhiliaX/Chat2DB,1045.0,35180.0,,6.054545454545455,4.0,6.848657537516314,1.2669856459330144,1.0,0.5626556870836342,16.489952153110046,0.0,84.83664235184057
bazelbuild/bazel,10731.0,597007.0,,7.587829652408908,5.0,10.487715134262,1.623241077252819,1.0,1.338433369279631,70.59192992265399,1.0,960.951152179074
scwang90/SmartRefreshLayout,341.0,18145.0,,6.651026392961877,3.0,7.59130155095532,1.5073313782991202,1.0,0.8492759399738044,30.319648093841643,0.0,295.0474047572584
jenkinsci/jenkins,4124.0,186784.0,,6.309893307468477,4.0,8.463987662925241,1.9444713870029098,2.0,1.791339552429655,46.49418040737148,0.0,909.7213685715451
libgdx/libgdx,4104.0,293577.0,,5.216861598440546,3.0,8.844101503857017,1.786793372319688,1.0,1.5948708458860261,3434.72977582846,0.0,144240.05573580664
proxyee-down-org/proxyee-down,60.0,3392.0,,5.516666666666667,4.0,6.223225134401482,1.4666666666666666,1.0,0.9291269214473296,19.516666666666666,2.0,49.7285825346345
apache/skywalking,3577.0,127914.0,,6.0125803746156,4.0,7.211227300836101,1.390550740844283,1.0,0.8067459935851545,7.154039698071009,0.0,32.95286836668977
greenrobot/EventBus,183.0,5269.0,,3.4262295081967213,3.0,3.065900812679761,1.8360655737704918,1.0,1.4240515779898408,9.05464480874317,0.0,35.08227798058746
Netflix/Hystrix,2005.0,62010.0,,3.3610972568578554,2.0,5.185605248130499,1.5581047381546134,1.0,3.588660395208526,20.253865336658354,0.0,385.24130640800433
google/gson,1082.0,34805.0,,3.033271719038817,2.0,4.454602149774934,1.2855822550831792,1.0,1.0254644412361982,20.777264325323475,0.0,382.36622133262625
redisson/redisson,3013.0,173293.0,,5.753070029870561,3.0,10.384767104569237,1.3166279455692,1.0,0.7061522799456488,168.2562230335214,0.0,1486.80810375193
iBotPeaches/Apktool,167.0,13448.0,,5.868263473053892,5.0,5.359993366975298,1.778443113772455,2.0,1.037845298061478,53.958083832335326,1.0,295.1189336173447
dataease/dataease,1124.0,44545.0,,4.98576512455516,3.0,7.552828030436021,1.1565836298932384,1.0,0.4797235783351459,28.551601423487543,0.0,185.53295955233142
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,91.0,894.0,,2.901098901098901,2.0,2.836488224136572,1.0,1.0,0.0,0.23076923076923078,0.0,0.716114874039433
LSPosed/LSPosed,427.0,22952.0,,5.522248243559719,3.0,7.2472333464341485,1.6463700234192038,1.0,1.2869896760042594,48.114754098360656,0.0,319.84925064569575
doocs/source-code-hunter,1.0,5.0,,0.0,0.0,,1.0,1.0,,0.0,0.0,
alibaba/Sentinel,1538.0,56097.0,,4.3491547464239275,3.0,4.495751185903197,1.1775032509752925,1.0,0.6515791400293364,12.326397919375813,0.0,46.41081406135485
ashishps1/awesome-low-level-design,793.0,14596.0,,2.640605296343001,2.0,2.5595366604098513,1.141235813366961,1.0,0.43545748163482384,3.051702395964691,0.0,11.144532575005575
apache/rocketmq,3002.0,234541.0,,6.987341772151899,4.0,10.610858097216306,1.3364423717521652,1.0,0.7544587456208743,135.61292471685542,1.0,2831.5448041802465
kunal-kushwaha/DSA-Bootcamp-Java,253.0,6592.0,,1.3043478260869565,1.0,1.2240403066025707,1.08300395256917,1.0,0.3407328527871097,3.494071146245059,1.0,11.011761588439535
